1,10000148,Onion - Medium/Vengayam,38.38,kg,1,https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000148_30-fresho-onion.jpg,Test,Test
2,10000203,Tomato Local - Grade A/Naattu Thakkali,11.11,kg,1,https://www.bigbasket.com/pd/10000203/fresho-tomato-local-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000203_16-fresho-tomato-local.jpg,Test,Test
3,10000143,Ladies Finger,22,g,250,https://www.bigbasket.com/pd/10000143/fresho-ladies-finger-250-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000143_14-fresho-ladies-finger.jpg,Test,Test
4,40089743,Beans - Haricot,32.32,g,250,https://www.bigbasket.com/pd/40089743/fresho-beans-haricot-250-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/40089743_2-fresho-beans-haricot.jpg,Test,Test
5,10000072,Carrot - Orange,64.64,g,500,https://www.bigbasket.com/pd/10000072/fresho-carrot-orange-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000072_16-fresho-carrot-orange.jpg,Test,Test
6,10000074,Cauliflower (Medium)/Cauliflower,34.34,g,500,https://www.bigbasket.com/pd/10000074/fresho-cauliflower-1-pc/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000074_19-fresho-cauliflower.jpg,Test,Test
7,10000283,Green Peas,69,g,500,https://www.bigbasket.com/pd/10000283/fresho-green-peas-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000283_11-fresho-green-peas.jpg,Test,Test
8,40048457,Potato - New Crop,29.29,kg,1,https://www.bigbasket.com/pd/40048457/fresho-potato-new-crop-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/40048457_7-fresho-potato-new-crop.jpg,Test,Test
9,10000103,Cucumber,30.3,g,500,https://www.bigbasket.com/pd/10000103/fresho-cucumber-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000103_16-fresho-cucumber.jpg,Test,Test
10,10000273,Mushrooms - Button,308.32,g,190,https://www.bigbasket.com/pd/10000273/fresho-mushrooms-button-1-pack/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000273_16-fresho-mushrooms-button.jpg,Test,Test
11,10000137,"Mint Leaves - Cleaned, without roots",60,g,100,https://www.bigbasket.com/pd/10000137/fresho-mint-leaves-cleaned-without-roots-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000137_19-fresho-mint-leaves-cleaned-without-roots.jpg,Test,Test
12,40145217,Ooty Chow Chow,28,g,500,https://www.bigbasket.com/pd/40145217/fresho-ooty-chow-chow-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/40145217_2-fresho-ooty-chow-chow.jpg,Test,Test
13,10000200,Tomato Hybrid/Bangalore Thakkali,12.12,kg,1,https://www.bigbasket.com/pd/10000200/fresho-tomato-hybrid-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Grocery,Fresh Vegetables,Vegetables,03/10/2022 10:19,Bigbasket,Chennai,https://www.bigbasket.com/media/uploads/p/s/10000200_17-fresho-tomato-hybrid.jpg,Test,Test
