id,product_id,product_name,price,unit,quantity,link,category,sub_category_1,sub_category_2,created_date,online_partner
143,40005827,"Banana - Raw, Diced",160,200,g,https://www.bigbasket.com/pd/40005827/fresho-banana-raw-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,08/07/2022 11:56,Bigbasket
144,40005772,Beetroot - Diced,150,200,g,https://www.bigbasket.com/pd/40005772/fresho-beetroot-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,09/07/2022 11:56,Bigbasket
145,40005786,Carrots - Grated,175,200,g,https://www.bigbasket.com/pd/40005786/fresho-carrots-grated-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,10/07/2022 11:56,Bigbasket
146,40005829,"Banana - Raw, Sliced",160,200,g,https://www.bigbasket.com/pd/40005829/fresho-banana-raw-sliced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,11/07/2022 11:56,Bigbasket
147,10000085,Chinese Cabbage,36,500,g,https://www.bigbasket.com/pd/10000085/fresho-chinese-cabbage-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,12/07/2022 11:56,Bigbasket
148,40005795,Chow Chow - Diced,70,300,g,https://www.bigbasket.com/pd/40005795/fresho-chow-chow-diced-300-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,13/07/2022 11:56,Bigbasket
149,10000205,Turnip,42,500,g,https://www.bigbasket.com/pd/10000205/fresho-turnip-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,14/07/2022 11:56,Bigbasket
150,40035572,Onion - Diced,165,200,g,https://www.bigbasket.com/pd/40035572/fresho-onion-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,15/07/2022 11:56,Bigbasket
151,20004774,Ridge Gourd - Diced,110,300,g,https://www.bigbasket.com/pd/20004774/fresho-ridge-gourd-diced-300-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,16/07/2022 11:56,Bigbasket
152,20004776,Delhi Carrots - Grated,196.66,300,g,https://www.bigbasket.com/pd/20004776/fresho-delhi-carrots-grated-300-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,17/07/2022 11:56,Bigbasket
